ANIO,DOMINIO_G,COD_IDIOMA,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,SEXO
2013,4,4,2,21,6,10,342056,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Mujer
2013,4,4,2,43,5,9,531016,Sierra Norte,Separado,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Mujer
2013,4,4,1,30,6,10,332326,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Turismo y Administración,Hombre
2013,4,4,2,25,6,9,332326,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Turismo y Administración,Mujer
2013,4,4,1,47,2,9,341026,Sierra Norte,Casado,Castellano,Superior Universitaria Incompleta,Economía,Hombre
2013,4,4,1,21,6,9,531016,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Hombre
2013,4,4,1,28,6,10,332326,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Turismo y Administración,Hombre
2013,4,4,1,25,6,10,332326,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Turismo y Administración,Hombre
2013,4,4,2,23,2,9,342056,Sierra Norte,Casado,Castellano,Superior Universitaria Incompleta,Contabilidad,Mujer
2013,4,4,1,31,2,10,332326,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Turismo y Administración,Hombre
2013,4,4,1,30,6,10,112016,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Educación Primaria,Hombre
2013,4,4,2,27,6,11,112016,Sierra Norte,Soltero,Castellano,Maestria/doctorado,Educación Primaria,Mujer
2013,4,4,1,19,6,9,531016,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Hombre
2013,4,4,1,49,2,10,121016,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Educación Secundaria,Hombre
2013,4,4,2,44,2,10,112016,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
