ANIO,NOM_DOMINIO_G,NOM_IDIOMA,SEXO,EDAD,NOM_ESTADO_CIVIL,NOM_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS
2014,sierra norte,castellano,2,26,6.0,superior universitaria incompleta,332066,160000076,Administración en Turismo,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2014,sierra norte,castellano,1,22,6.0,superior universitaria incompleta,531016,260000072,Ingeniería Civil,Universidad Particular Señor de Sipán S.A.C.
2014,sierra norte,castellano,1,19,6.0,superior universitaria incompleta,523026,160000076,Ingeniería Agroindustrial,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2014,sierra norte,castellano,1,29,6.0,superior universitaria completa,332066,160000076,Administración en Turismo,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2014,sierra norte,castellano,1,26,6.0,superior universitaria completa,332066,160000076,Administración en Turismo,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2014,sierra norte,castellano,2,24,2.0,superior universitaria incompleta,342046,260000059,Ciencias Contables y Financieras,Universidad Alas Peruanas
2014,sierra norte,castellano,1,31,6.0,superior universitaria completa,112016,160000076,Educación Primaria,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2014,sierra norte,castellano,2,50,2.0,superior universitaria completa,112016,160000004,Educación Primaria,Universidad Nacional de Trujillo
2014,sierra norte,castellano,1,21,6.0,superior universitaria incompleta,21016,181000004,Administración y Ciencias Policiales (oficiales),Escuela de Oficiales de la Policía Nacional del Perú
2014,sierra norte,castellano,2,33,5.0,superior universitaria incompleta,342056,260000052,Contabilidad,Universidad Particular César Vallejo
2014,sierra norte,castellano,1,49,2.0,superior universitaria completa,112016,160000031,Educación Primaria,Universidad Nacional Pedro Ruíz Gallo
2014,sierra norte,castellano,1,30,1.0,superior universitaria completa,412026,260000046,Zootecnia,Universidad P. Antenor Orrego
2014,sierra norte,castellano,2,18,6.0,superior universitaria incompleta,332336,160000076,Turismo y Hotelería,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2014,selva,castellano,1,46,1.0,superior universitaria completa,533026,260000044,Arquitectura,Universidad Particular de Chiclayo
2014,selva,castellano,1,54,1.0,superior universitaria completa,331016,-1,Administración,
2014,selva,castellano,2,27,6.0,superior universitaria incompleta,342056,260000059,Contabilidad,Universidad Alas Peruanas
2014,selva,castellano,2,26,6.0,superior universitaria completa,214016,160000031,Idiomas,Universidad Nacional Pedro Ruíz Gallo
2014,selva,castellano,1,23,6.0,superior universitaria incompleta,594056,160000076,Ingeniería Ambiental,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2014,selva,castellano,2,32,2.0,post-grado universitario,112016,160000031,Educación Primaria,Universidad Nacional Pedro Ruíz Gallo
2014,selva,castellano,1,54,2.0,superior universitaria completa,121016,160000022,Educación Secundaria,Universidad Nacional Agraria de la Selva
2014,selva,castellano,2,23,6.0,superior universitaria incompleta,717016,260000052,Obstetricia,Universidad Particular César Vallejo
2014,selva,castellano,1,53,2.0,superior universitaria completa,151016,160000022,Educación Artística,Universidad Nacional Agraria de la Selva
2014,selva,castellano,2,23,6.0,superior universitaria completa,714016,160000022,Enfermería,Universidad Nacional Agraria de la Selva
2014,selva,castellano,2,29,5.0,superior universitaria incompleta,342056,160000022,Contabilidad,Universidad Nacional Agraria de la Selva
2014,selva,castellano,1,59,2.0,superior universitaria completa,611106,160000031,Ingeniería Agrónoma,Universidad Nacional Pedro Ruíz Gallo
2014,selva,castellano,1,24,6.0,post-grado universitario,523026,160000022,Ingeniería Agroindustrial,Universidad Nacional Agraria de la Selva
2014,selva,castellano,1,43,1.0,superior universitaria incompleta,351056,160000022,Derecho y Ciencias Políticas   1/,Universidad Nacional Agraria de la Selva
2014,selva,castellano,2,21,6.0,superior universitaria completa,313016,160000022,Psicología,Universidad Nacional Agraria de la Selva
2014,selva,castellano,2,20,6.0,superior universitaria incompleta,533026,160000022,Arquitectura,Universidad Nacional Agraria de la Selva
2014,selva,castellano,1,50,1.0,superior universitaria completa,112016,160000031,Educación Primaria,Universidad Nacional Pedro Ruíz Gallo
2014,selva,castellano,2,43,1.0,superior universitaria incompleta,111026,260000052,Educación Inicial,Universidad Particular César Vallejo
2014,selva,castellano,1,59,2.0,post-grado universitario,351016,160000031,Derecho,Universidad Nacional Pedro Ruíz Gallo
2014,selva,castellano,2,57,2.0,superior universitaria completa,112016,160000031,Educación Primaria,Universidad Nacional Pedro Ruíz Gallo
2014,selva,castellano,1,27,1.0,superior universitaria incompleta,214016,160000022,Idiomas,Universidad Nacional Agraria de la Selva
2014,selva,castellano,2,21,1.0,superior universitaria incompleta,523026,160000022,Ingeniería Agroindustrial,Universidad Nacional Agraria de la Selva
2014,selva,castellano,1,29,1.0,superior universitaria completa,151016,160000031,Educación Artística,Universidad Nacional Pedro Ruíz Gallo
2014,selva,castellano,2,21,1.0,superior universitaria incompleta,342056,260000052,Contabilidad,Universidad Particular César Vallejo
2014,selva,castellano,1,37,1.0,superior universitaria completa,526036,-1,Ingeniería Mecánica,
2014,selva,castellano,2,45,1.0,superior universitaria completa,111026,160000004,Educación Inicial,Universidad Nacional de Trujillo
2014,selva,castellano,2,29,1.0,superior universitaria completa,332066,160000076,Administración en Turismo,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2014,selva,otra lengua nativa,1,19,6.0,superior universitaria incompleta,214016,260000071,Idiomas,Universidad Católica Sedes Sapientiae
2014,selva,castellano,1,22,6.0,superior universitaria incompleta,-1,-1,,
2014,selva,castellano,2,19,6.0,superior universitaria incompleta,112016,160000076,Educación Primaria,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2014,selva,castellano,1,36,1.0,superior universitaria completa,523026,160000076,Ingeniería Agroindustrial,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
2014,selva,castellano,1,39,2.0,superior universitaria completa,151016,160000031,Educación Artística,Universidad Nacional Pedro Ruíz Gallo
2014,selva,castellano,2,29,2.0,superior universitaria completa,121016,160000031,Educación Secundaria,Universidad Nacional Pedro Ruíz Gallo
