ANIO,NOM_DOMINIO_G,NOM_IDIOMA,SEXO,EDAD,NOM_ESTADO_CIVIL,NOM_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,COD_DEPARTAMENTO,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS,NOM_DEPARTAMENTO
2017,sierra norte,castellano,mujer,30,separado(a),superior universitaria completa,714016,160000076,1,Enfermería,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2017,sierra norte,castellano,mujer,21,soltero(a),superior universitaria incompleta,523026,160000076,1,Ingeniería Agroindustrial,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2017,sierra norte,castellano,mujer,20,soltero(a),superior universitaria incompleta,341026,160000076,1,Economía,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2017,sierra norte,castellano,hombre,45,conviviente,superior universitaria incompleta,341026,160000021,15,Economía,Universidad Nacional Federico Villarreal,Lima
2017,sierra norte,castellano,hombre,31,soltero(a),superior universitaria completa,112016,160000076,1,Educación Primaria,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2017,sierra norte,castellano,hombre,38,conviviente,superior universitaria completa,713026,260000059,15,Odontología,Universidad Alas Peruanas,Lima
2017,sierra norte,castellano,hombre,52,casado(a),superior universitaria completa,112016,160000076,1,Educación Primaria,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2017,sierra norte,castellano,hombre,25,soltero(a),superior universitaria incompleta,112016,160000076,1,Educación Primaria,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2017,sierra norte,castellano,hombre,20,soltero(a),superior universitaria incompleta,332066,160000076,1,Administración en Turismo,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2017,sierra norte,castellano,hombre,18,soltero(a),superior universitaria incompleta,341026,160000076,1,Economía,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas
2017,sierra norte,castellano,mujer,30,separado(a),superior universitaria incompleta,331016,260000059,15,Administración,Universidad Alas Peruanas,Lima
2017,sierra norte,castellano,mujer,26,soltero(a),superior universitaria incompleta,342056,260000059,15,Contabilidad,Universidad Alas Peruanas,Lima
