ANIO,UBIGEO,DOMINIO_G,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_IDIOMA,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,COD_DEPARTAMENTO,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS,NOM_DEPARTAMENTO,SEXO
2018,10101,4,2,22,6,4,9,523026,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agroindustrial,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2018,10101,4,2,21,6,4,9,341026,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Economía,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2018,10101,4,2,19,6,4,9,594056,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Ambiental,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2018,10101,4,2,27,6,4,10,332336,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Turismo y Hotelería,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2018,10101,4,2,17,6,4,9,331036,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Administración de Empresas,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2018,10101,4,2,60,2,4,11,611106,160000031,14,Sierra Norte,Casado,Castellano,Maestria/doctorado,Ingeniería Agrónoma,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Mujer
2018,10101,4,2,22,6,4,9,711026,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Medicina Humana,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Mujer
2018,10101,4,1,27,6,4,10,714016,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Enfermería,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Hombre
2018,10101,4,2,45,2,4,10,717016,260000046,13,Sierra Norte,Casado,Castellano,Superior Universitaria Completa,Obstetricia,Universidad P. Antenor Orrego,La Libertad,Mujer
2018,10101,4,1,46,2,4,11,715056,260000044,14,Sierra Norte,Casado,Castellano,Maestria/doctorado,Tecnología Médica,Universidad Particular de Chiclayo,Lambayeque,Hombre
2018,10101,4,2,20,6,4,9,711026,260000044,14,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Medicina Humana,Universidad Particular de Chiclayo,Lambayeque,Mujer
2018,10101,4,2,42,1,4,10,342056,260000024,15,Sierra Norte,Conviviente,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Inca Garcilaso de la Vega,Lima,Mujer
2018,10101,4,1,41,1,4,10,342056,260000024,15,Sierra Norte,Conviviente,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Inca Garcilaso de la Vega,Lima,Hombre
2018,10201,7,2,17,6,4,9,331036,260000069,14,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Administración de Empresas,Universidad Católica Santo Toribio de Mogrovejo,Lambayeque,Mujer
2018,10201,7,1,17,6,4,9,224036,-1,1,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Música,,Amazonas,Hombre
2018,10201,7,1,59,2,4,11,531016,160000031,14,Selva,Casado,Castellano,Maestria/doctorado,Ingeniería Civil,Universidad Nacional Pedro Ruíz Gallo,Lambayeque,Hombre
2018,10201,7,2,22,2,4,9,532016,160000034,22,Selva,Casado,Castellano,Superior Universitaria Incompleta,Ingeniería Sanitaria,Universidad Nacional de San Martín,San Martín,Mujer
2018,10701,7,1,20,6,4,9,531016,260000071,15,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Universidad Católica Sedes Sapientiae,Lima,Hombre
2018,10502,4,1,20,6,4,9,351016,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Derecho,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Hombre
2018,10203,7,2,19,6,4,9,335026,260000136,15,Selva,Soltero,Castellano,Superior Universitaria Incompleta,Administración de Negocios Internacionales   1/,Universidad María Auxiliadora,Lima,Mujer
2018,10304,4,1,22,6,4,9,594056,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Ambiental,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Hombre
2018,10513,4,1,24,6,4,10,611016,160000076,1,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Agronomía,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Hombre
2018,10114,4,1,30,6,4,10,341026,160000004,13,Sierra Norte,Soltero,Castellano,Superior Universitaria Completa,Economía,Universidad Nacional de Trujillo,La Libertad,Hombre
2018,21803,2,2,24,6,4,9,714016,260000045,2,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Enfermería,Universidad San Pedro,Ancash,Mujer
2018,21801,2,2,23,6,4,9,531016,260000045,2,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Universidad San Pedro,Ancash,Mujer
2018,21801,2,1,19,6,4,9,611106,260000045,2,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agrónoma,Universidad San Pedro,Ancash,Hombre
2018,21806,2,2,20,1,4,9,342056,260000053,2,Costa Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Contabilidad,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
2018,21806,2,2,23,6,4,10,714016,260000045,2,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Enfermería,Universidad San Pedro,Ancash,Mujer
2018,20801,2,1,26,6,4,9,331016,260000045,2,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Administración,Universidad San Pedro,Ancash,Hombre
2018,20801,2,1,23,6,4,9,531016,260000045,2,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Civil,Universidad San Pedro,Ancash,Hombre
2018,20801,2,2,29,2,4,9,331016,260000053,2,Costa Centro,Casado,Castellano,Superior Universitaria Incompleta,Administración,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
2018,20801,2,1,34,2,4,9,331016,260000053,2,Costa Centro,Casado,Castellano,Superior Universitaria Incompleta,Administración,Universidad Católica Los Ángeles de Chimbote,Ancash,Hombre
2018,20801,2,2,22,1,4,9,331016,260000052,13,Costa Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Administración,Universidad Particular César Vallejo,La Libertad,Mujer
2018,20801,2,2,28,6,4,10,342056,260000053,2,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
2018,20105,5,2,32,6,4,11,121246,260000052,13,Sierra Centro,Soltero,Castellano,Maestria/doctorado,Educación Secundaria - Computación e Informática,Universidad Particular César Vallejo,La Libertad,Mujer
2018,20105,5,1,24,6,4,10,511026,260000045,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería de Sistemas,Universidad San Pedro,Ancash,Hombre
2018,20105,5,2,22,6,4,10,714016,260000053,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Enfermería,Universidad Católica Los Ángeles de Chimbote,Ancash,Mujer
2018,20105,5,1,18,6,4,9,112016,160000033,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Incompleta,Educación Primaria,Universidad Nacional Santiago Antúnez de Mayolo,Ancash,Hombre
2018,20105,5,2,51,5,4,11,121456,260000052,13,Sierra Centro,Separado,Castellano,Maestria/doctorado,Educación Secundaria - Matemática,Universidad Particular César Vallejo,La Libertad,Mujer
2018,20101,5,2,38,6,4,10,531016,260000045,2,Sierra Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Civil,Universidad San Pedro,Ancash,Mujer
