anio,sup_uni_incompleta,sup_uni_completa,maestria_doctorado,pregrado_psicologia,hombres_pregrado_psicologia,mujeres_pregrado_psicologia,pregrado_derecho,pregrado_ing_civil,pregrado_contabilidad,pregrado_admin_empresas,pregrado_ing_sistemas
2010,3393.0,3109.0,606.0,67.0,20.0,47.0,213.0,137.0,287.0,244.0,155.0
2011,3964.0,3713.0,650.0,100.0,34.0,66.0,273.0,179.0,362.0,242.0,187.0
2012,4396.0,4132.0,809.0,106.0,35.0,71.0,276.0,233.0,442.0,316.0,170.0
2013,5345.0,5557.0,1060.0,144.0,30.0,114.0,313.0,323.0,488.0,372.0,233.0
2014,5616.0,5578.0,1179.0,146.0,40.0,106.0,338.0,360.0,543.0,416.0,221.0
2015,5431.0,5833.0,1020.0,169.0,40.0,129.0,301.0,359.0,440.0,345.0,191.0
2016,6344.0,6770.0,1239.0,218.0,52.0,166.0,445.0,451.0,555.0,351.0,223.0
2017,6035.0,6450.0,,247.0,62.0,185.0,396.0,413.0,491.0,326.0,199.0
2018,6401.0,7028.0,1441.0,260.0,77.0,183.0,423.0,413.0,498.0,334.0,218.0
2019,5853.0,6685.0,1404.0,260.0,75.0,185.0,401.0,404.0,398.0,311.0,168.0
2020,5779.0,6930.0,1219.0,120.0,37.0,83.0,216.0,205.0,174.0,139.0,93.0
2021,4885.0,5718.0,1024.0,221.0,66.0,155.0,365.0,302.0,289.0,236.0,153.0
