COD_CARRERA_UNI,NOM_CARRERA_UNI
111016,"Educación Básica, Inicial y Primaria"
111026,Educación Inicial
111036,Educación Inicial -  Niñez Temprana
111046,Educación Inicial -  Retardo Mental
111056,Educación Inicial Bilingüe
111066,Educación Inicial y Arte
111076,Educación Intercultural Bilingüe: Nivel Inicial y Nivel Primaria
112016,Educación Primaria
112026,Educación Primaria -  Educación Básica Alternativa
112036,Educación Primaria - Inglés
112046,Educación Primaria Intercultural
112056,Educación Primaria y Bilingüe
112066,Educación Primaria y Bilingüe Intercultural
112076,Educación Primaria y Problemas de Aprendizaje
121016,Educación Secundaria
121026,Educación Secundaria - Antropología Social
121036,Educación Secundaria - Arte
121046,Educación Secundaria Bilingüe
121056,"Educación Secundaria - Biología, Química y Tecnología de los Alimentos"
121066,Educación Secundaria - Biología y Química
121076,Educación Secundaria - Ciencia Tecnología y Ambiente
121086,Educación Secundaria - Ciencia Tecnología de la Comunicación
121096,Educación Secundaria - Ciencias Biológicas y Química
121106,Educación Secundaria - Ciencias Histórico Sociales
121116,"Educación Secundaria - Ciencias Matemáticas, Físicas e Informática"
121126,Educación Secundaria - Ciencias Naturales
121136,Educación Secundaria - Ciencias Naturales Tecnología y Ambiente
121146,Educación Secundaria - Ciencias Naturales y Ecología
121156,Educación Secundaria - Ciencias Sociales
121166,Educación Secundaria - Ciencias Sociales - Filosofía
121176,Educación Secundaria - Ciencias Sociales - Geografía
121186,Educación Secundaria - Ciencias Sociales - Historia
121196,Educación Secundaria - Ciencias Sociales - Psicología
121206,Educación Secundaria - Ciencias Sociales y Bioética
121216,Educación Secundaria - Ciencias Sociales y Desarrollo Rural
121226,Educación Secundaria - Ciencias Sociales y Promoción Socio Cultural
121236,Educación Secundaria - Ciencias Sociales y Turismo
121246,Educación Secundaria - Computación e Informática
121256,Educación Secundaria - Comunicación
121266,"Educación Secundaria - Filosofía, Psicología y Ciencias Sociales"
121276,Educación Secundaria - Filosofía y Ciencias Sociales
121286,Educación Secundaria - Filosofía y Psicopedagogía
121296,Educación Secundaria - Filosofía y Religión
121306,"Educación Secundaria - Historia, Geografía y Ecología"
121316,"Educación Secundaria - Historia, Geografía y Ciencias Sociales"
121326,Educación Secundaria - Historia y Ciencias Sociales
121336,Educación Secundaria - Historia y Geografía
121346,Educación Secundaria - Idioma Extranjero Traducción e Interpretación
121356,Educación Secundaria - Idioma Extranjero/Originario
121366,Educación Secundaria - Inglés
121376,Educación Secundaria - Inglés e Italiano
121386,Educación Secundaria - Inglés y Alemán
121396,Educación Secundaria - Inglés y Francés
121406,"Educación Secundaria - Lengua, Comunicación e Idioma Inglés"
121416,Educación Secundaria - Lengua Literatura y Gestión Educativa
121426,Educación Secundaria - Lengua y Literatura
121436,"Educación Secundaria - Lenguaje, Literatura e Idiomas"
