COD_CENTRO_ESTUDIOS,NOM_CENTRO_ESTUDIOS
160000022,Universidad Nacional Agraria de la Selva
160000007,Universidad Nacional Agraria La Molina
160000075,Universidad Nacional Amazónica de Madre de Dios
160000127,Universidad Nacional Autónoma Altoandina de Tarma
160000126,Universidad Nacional Autónoma de Alto Amazonas
160000120,Universidad Nacional Autónoma de Chota
160000128,Universidad Nacional Autónoma de Huanta
160000138,Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo
160000139,Universidad Nacional Ciro Alegría
160000026,Universidad Nacional Daniel Alcídes Carrión
160000121,Universidad Nacional de Barranca
160000016,Universidad Nacional de Cajamarca
160000106,Universidad Nacional de Cañete
160000025,Universidad Nacional de Educación E.G.V.
160000122,Universidad Nacional de Frontera
160000051,Universidad Nacional de Huancavelica
160000006,Universidad Nacional de Ingeniería
160000101,Universidad Nacional de Jaén
160000098,Universidad Nacional de Juliaca
160000011,Universidad Nacional de La Amazonía Peruana
160000095,Universidad Nacional de Moquegua
160000013,Universidad Nacional de Piura
160000005,Universidad Nacional de San Agustín
160000003,Universidad Nacional de San Antonio Abad del Cusco
160000002,Universidad Nacional de San Cristóbal de Huamanga
160000034,Universidad Nacional de San Martín
160000004,Universidad Nacional de Trujillo
160000041,Universidad Nacional de Tumbes
160000035,Universidad Nacional de Ucayali
160000012,Universidad Nacional del Altiplano
160000027,Universidad Nacional del Callao
160000010,Universidad Nacional del Centro del Perú
160000042,Universidad Nacional del Santa
160000021,Universidad Nacional Federico Villarreal
160000023,Universidad Nacional Hermilio Valdizán
160000123,"Universidad Nacional Intercultural ""Fabiola Salazar Leguía"""
160000084,Universidad Nacional Intercultural de la Amazonía
160000124,Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa
160000125,Universidad Nacional Intercultural de Quillabamba
160000032,Universidad Nacional Jorge Basadre Grohmann
160000028,Universidad Nacional José Faustino Sánchez Carrión
160000001,Universidad Nacional Mayor de San Marcos
160000077,Universidad Nacional Micaela Bastidas de Apurímac
160000130,Universidad Autónoma Municipal de Los Olivos
160000031,Universidad Nacional Pedro Ruíz Gallo
160000009,Universidad Nacional San Luis Gonzaga
160000033,Universidad Nacional Santiago Antúnez de Mayolo
160000129,Universidad Nacional Tecnológica de San Juan de Lurigancho
160000088,Universidad Nacional Tecnológica del Cono Sur de Lima
160000076,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas
160000089,"Universidad Nacional ""José María Arguedas"""
150653592,Instituto Superior Pedagógico 13 De Julio De 1882
150921015,Instituto Superior Pedagógico Acolla
150932475,Instituto Superior Pedagógico Acomayo
151093152,Instituto Superior Pedagógico Agustin Bocanegra Y Prada
151545623,Instituto Superior Pedagógico Alianza Ichuña Belgica
150642090,Instituto Superior Pedagógico Antenor Orrego
150695452,Instituto Superior Pedagógico Arequipa
150391169,Instituto Superior Pedagógico Aristides Merino Merino
151273911,Instituto Superior Pedagógico Ayaviri
150630558,Instituto Superior Pedagógico Azangaro
150811489,Instituto Superior Pedagógico Cachicadan
151141795,Instituto Superior Pedagógico Carlos Medrano Vasquez
151150739,Instituto Superior Pedagógico Cayetano Ardanza
150708164,Instituto Superior Pedagógico Cesar Abraham Vallejo Mendoza
150686618,Instituto Superior Pedagógico Chimbote
150608299,Instituto Superior Pedagógico Chincha
150644807,Instituto Superior Pedagógico Chiquian
150638130,Instituto Superior Pedagógico Ciro Alegria Bazan
150932392,Instituto Superior Pedagógico Coyllurqui
150690388,Instituto Superior Pedagógico David Sanchez Infante
151096924,Instituto Superior Pedagógico De Picota
151078880,Instituto Superior Pedagógico De Uchiza
151000694,Instituto Superior Pedagógico Del Santa
151193259,Instituto Superior Pedagógico Edislao Mera Davila
150688069,Instituto Superior Pedagógico Educacion Fisica
150630616,Instituto Superior Pedagógico Educacion Fisica Lampa
151065416,Instituto Superior Pedagógico Emilia Barcia Boniffatti
150653584,Instituto Superior Pedagógico Fidel Zarate Plasencia
150637116,Instituto Superior Pedagógico Filiberto Garcia Cuellar
